순번,이름,소재지,위도,경도
1,샐러디 노량진역점,서울 동작구 노량진로16길 25 1층,37.5125456235758,126.943997698109
2,슬로우캘리 중앙대점,서울 동작구 흑석로 114 1층,37.5085089228622,126.961518020865
3,포케올데이 중앙대점,서울 동작구 흑석로 111 2층,37.508570997128,126.961227315462
4,프레퍼스다이어트푸드 노량진점,서울 동작구 노량진로 152 1층,37.5134460154632,126.942721145758
5,샐러드박스 상도역점 ,서울 동작구 만양로 3 1층,37.50523059191428,126.94642571112912
6,채홍,서울 동작구 강남초등길 24 1층,37.5051176494059,126.951974346792
7,북경,서울 동작구 상도로37길 21 1층,37.5016731040335,126.94980405321839
8,천외천,서울 동작구 만양로 19 신동아리버파크상가 2층,37.50723255428068,126.94432400385843
9,자금성,서울 동작구 만양로14다길 7 1층,37.5112812874774,126.945437359046
